sample_id,input,output,intention,source,style_to,reference,quest_nr,AnswerA_1,AnswerA_2,AnswerA_3,AnswerB_1,AnswerB_2,AnswerB_3,prolificID_1,prolificID_2,prolificID_3,annoB_mean,annoA_mean
213.0,Not to mention idiots like Pelosi,Let alone people such as Pelosi.,style,Log3,detoxified,Not to mention individuals like Pelosi.,1,4,5,4,4,5,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.6666666666666665,4.333333333333333
213.0,Not to mention idiots like Pelosi,Not to mention things like Pepsi.,substitution,Log3,detoxified,Not to mention individuals like Pelosi.,2,4,5,2,2,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.3333333333333333,3.6666666666666665
378.0,"100,000 people paid money to watch this garbage.",A lot of people spent money to see this but it is disappointing,style,Log3,detoxified,"100,000 people paid money to watch this content.",3,5,5,4,4,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.333333333333333,4.666666666666667
378.0,"100,000 people paid money to watch this garbage.",1.000.000.000 people paid money to watch this content.,substitution,Log3,detoxified,"100,000 people paid money to watch this content.",4,2,5,3,2,3,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.0,3.3333333333333335
611.0,a sociopathic idiot is trying to reassure us.,An unstable person is attempting to comfort us,style,Log3,detoxified,someone is trying to reassure us.,5,4,5,4,4,3,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,3.3333333333333335,4.333333333333333
611.0,a sociopathic idiot is trying to reassure us.,we are trying to reassure a sociopath.,substitution,Log3,detoxified,someone is trying to reassure us.,6,4,5,3,2,2,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.6666666666666667,4.0
627.0,it is a left-wing loser who spews the usual talking point ,The person is just repeating the usual talking point from the left-wing,style,Log3,detoxified,it is a left-wing person who spews the usual talking point,7,5,5,4,5,5,3,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.333333333333333,4.666666666666667
627.0,it is a left-wing loser who spews the usual talking point ,it is a right-wing person who spews the usual talking point ,substitution,Log3,detoxified,it is a left-wing person who spews the usual talking point,8,2,2,1,2,1,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,1.3333333333333333,1.6666666666666667
1537.0,you been been blocked because people are sensitive pussies who get hurt easily.,People have different boundaries and you have been blocked because you overstepped the boundaries of some more sensitive people,style,Log3,detoxified,you been been blocked because people are sensitive pussies and they get hurt easily.,9,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
1537.0,you been been blocked because people are sensitive pussies who get hurt easily.,People been been blocked because you are sensitive and easily get hurt,substitution,Log3,detoxified,you been been blocked because people are sensitive pussies and they get hurt easily.,10,5,5,4,3,2,2,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.3333333333333335,4.666666666666667
1665.0,"a slutty, foulmouthed choice, but their choice, nonetheless.",The choice is theirs no matter if the decision is controversial or morally questionable,style,Log3,detoxified,"a morally questionable choice, but their choice, nonetheless.",11,5,5,5,4,5,4,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,4.333333333333333,5.0
1665.0,"a slutty, foulmouthed choice, but their choice, nonetheless.","a morally questionable choice, but is is my choice, nonetheless.",substitution,Log3,detoxified,"a morally questionable choice, but their choice, nonetheless.",12,5,5,4,2,3,1,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,2.0,4.666666666666667
2443.0,a carbon tax for canada is just ridiculous,Introducing a tax on carbon emissions in Canada seems unreasonable.,style,Log3,detoxified,a carbon tax for canada seems unreasonable.,13,5,5,5,5,5,5,6161c4cc2d4f503e8265038e,62b1e88f17e52b6037d67470,638070625c26e262f2163254,5.0,5.0
